pharmacyid,PharmacyName,"Total Medicine","Total MRP of All Medicine","Total Price After Discount"
3287,"Ally Scripts",1037993,242673230,207645810
8184,Apotheco,2278817,978659351,796193118
8911,"Assured Rx",1306242,950683603,856578606
4996,"Banks Apothecary",994595,630995153,532609870
3703,"Bioplus Specialty",1898455,870520226,722464875
2209,"Blink Health",2305042,611615544,519736912
5960,CareFirst,631870,376846655,310478476
1624,Caremark,1996254,1255294071,1115830623
5866,Carepoint,2199862,586342803,494604364
5403,"Confidential Drug",457328,184934273,167856095
6717,"DFW Wellness",1516490,1609142833,1292226103
8852,"Envolve Health",391198,188878444,179528622
9659,"Express Scripts",1767314,836768428,729595291
1194,"Foundation Care",1657393,807560401,674202549
1386,GenScripts,10208,2547320,2167736
6728,"GoGo Meds",1629411,711967199,645821081
3651,"Good RX",590665,157520352,131481616
8349,"Grand Medicine",64249,8832885,6622047
1755,"Health Warehouse",2170098,1034440194,822519983
2301,HealthDirect,894202,481908137,429932913
9938,MedImpact,1070819,363988918,292852396
4891,Medisuite,2108945,1068034764,921051921
6611,Medlife,1390137,623000403,545472014
3348,MedMinder,1733881,453136569,391241759
4137,MedOne,2098109,2095041138,1571691272
8897,MedSavvy,2390902,1550249438,1349180788
7357,MedShoppe,2431185,862635181,748242454
1008,MobiMeds,247442,64478840,58384409
7865,OptumRx,1237110,733709747,616373431
1882,PersonalRX,1106458,325868321,277810662
2563,PharmaMed,995936,430557546,344924211
3570,"Pill Pack",1948740,467740144,408601805
1478,Pocketpills,2064932,699705142,604697690
6444,Postmeds,2291585,843989140,700242377
9255,PrecisionMed,441858,244242980,211331961
2060,"Prescription Hope",1799819,685844773,575670502
6914,"Prescription Lifeline",1694904,674666777,528186527
8315,RefillWise,1980058,1012065016,815419643
8142,"RX Universal",745907,550224876,419684105
2356,RxToMe,204027,253624172,219236299
9239,ScriptSave,1016267,444952389,387084716
2449,"Simple Meds",539132,285571927,237076476
7454,"The Pill Club",1132657,548047238,472802779
7887,"The Rx Advocates",1938892,788237222,656893915
4663,"Tru Script",722948,204863440,177741020
5659,"True Pill",2503788,1431961203,1165183181
7472,"Absolute Care",2437237,1574192295,1488337835
5246,"Better Life",1071065,753692290,627675739
4269,"Cardinal Health",1522385,496152112,419705598
8549,"Cash Saver Pharmacy",1627720,638907141,547569569
2836,"Discount Drug Mart",1526057,681765088,581645026
2066,"Drug Blend",1388042,1400717255,1106466492
1925,"Everyday Drugs",1380599,488246529,421757035
3803,"First Care Rx",1467762,458557039,373855068
6305,"First Pharmacy",522204,238562956,199781266
7435,"Good Life Rx",616929,487752808,408306972
9869,"Health Aura",2243759,591565625,477660285
9580,"Health Corner",2293121,608907771,546657626
5200,"Heartland Pharmacy",955532,527748264,421744286
4025,"Keystone Pharmacy",1501104,515294085,427332030
3104,"Louis And Clark Drug",1623409,492059716,416595909
2416,"Max Health",384577,187782761,171280289
3628,"Midtown Express",946388,170782485,142220756
5904,Neighborcare,2123850,2462204634,1915353132
9999,"Planet Health",665158,260274612,217989252
2906,"Powerhouse Pharmacy",406625,206946572,160128147
9405,"Priority Pharmacy",1131254,342153277,277357759
1795,"Pure Life",789325,170179741,153178133
2847,"Smart Pharmacy",1354967,410926939,348263454
1354,HealthMart,631582,395621229,338774273
6863,Wellcare,1455325,571037581,467836741
3515,"Wellport Drugs",1959920,1628681290,1341711617
8404,"Atlas Drugs",178021,50497527,39000143
9707,"Better You",1197770,624755339,533181031
7759,"Beyond Health",1659294,720118691,612779817
6576,"Care Pharmacy",2272613,814278027,691141894
8933,"Cashway Pharmacy",1988332,1055444582,907145726
8760,"Discount Drugs",2216569,1774784649,1537618827
6957,"Express Food & Pharmacy",2254081,783155218,692875925
6840,"First Hill Pharmacy",703557,310982474,276943228
9296,"Gem Drugs",837943,786351250,677852807
5350,"Health Element",781268,1148399396,1019837771
3831,"Health Mart",1576936,908641148,837846404
6971,"Hearty Mart",1247357,658480415,519562869
4707,"Lakeside Pharmacy",1537070,679668749,589151816
6004,"Longhorn Pharmacy",1030986,472669902,408728201
8891,Neighbors,2233701,931278315,783084732
1248,"New Era",713851,414130896,365933313
5976,"Pride Pharmacy",2431365,1316219404,1050500013
3303,"Reliable Pharmacy",1132320,548286276,492333872
1584,Sunwest,337756,116347342,106521161
1731,"Thrifty Way Pharmacy",586252,144940374,118394951
2821,Wellfresh,1132416,353473423,315371104
1891,Welltrack,1499271,709487046,594775440
6706,"Acculife Drug Stores",2204303,700887388,580195472
9681,"Be Well",1093382,426000226,377784885
4221,"Below Drug",2115584,1826127040,1733326617
7985,Centrico,2308998,1074561315,953230624
7085,"Community Pharmacy",1292783,296606220,251669424
5644,"Dakota Drug",1808023,763491783,694780644
5626,"Doc Your Dose Pharmacy",2117062,805415871,710685982
7202,"Essura Pharmacy",210435,84663331,67985635
2822,"Fisher Pharmacy & Gifts",2222097,996463721,817805638
6984,"Gateway Medical",1459055,421081082,358002647
9969,"Good Neighbor Pharmacy",541511,124210999,105179616
2218,Heallergy,1569601,1615707492,1188810766
5565,"Health Hub",1280764,689407832,601464271
8824,"Holloway Pharmacy",2129081,860284009,699152250
1149,"Modern Health",498279,169635286,134857845
3799,"Newday Drug Store",552871,233819712,186277824
4866,"Pacific Medical",1184243,313588378,270442837
5381,"Pharma First",905787,451600328,383283021
8265,"Pharmacy Alliance",1117920,759569126,667423333
3673,"Pharmacy Express",268785,37869714,33407716
9387,"Rocky’s Drug",96078,12726264,12549983
1574,"ScriptSite Specialty",1093111,514171553,434588679
7016,"Southside Family Pharmacy",906461,534404672,467378390
8442,"Wellman’s Pharmacy",1303376,735238921,593438154
6931,Wellpharma,1360568,552921940,451108608
6194,"Bartell Drugs",682735,234037479,202652958
4905,"Cedra Pharmacy",1728218,668350546,606285190
5605,"Compass Health Care",1186217,388600423,350614588
1609,"The Compounding Pharmacy",1289393,288555047,237223895
2640,"Dutchtown Pharmacy",239692,45730620,41190110
1204,"Family Drug Mart",1354455,1842069001,1464650703
1293,"Fry’s Pharmacy",1650406,553397270,479860296
9324,"Geneva Woods",1072710,320131237,278603959
5658,Goodness,1524582,455380876,376263666
7182,"Health Hexa Drugs",1379880,464144614,406175019
4636,"Hometown Pharmacy Services",1921437,861137201,744589890
6018,"Jack’s Discount Pharmacy",1517714,502028176,434316384
2426,"Lifeshave Pharmacy",2421490,1656905193,1385298099
4827,"Northwest Pharmacy",1135111,637761389,599938534
3536,"Outpatient Pharmacy",2255470,564638761,457967079
1766,"Pharma Best",1434687,286048481,255855375
4326,Pharmanic,315166,210901678,195741741
8109,"Premier Long Term Care Pharm",2088269,750930577,614340282
1396,"Sand Point Pharmacy",283418,65820561,63592307
9325,"Sharp Specialty Pharmacy",845039,284532050,218893754
7532,"Sure Save",1713983,1149902760,912707975
9790,"Wellness Craft",2530715,1128207543,968406302
4251,Sav-On,2063301,519013455,446482390
5058,"Bio Scrip",2212786,1916800372,1543139833
7448,"Central Drug Store",1433940,1306265066,1087831230
3469,"Concord Pharmacy",2526557,1826166809,1569151720
3176,"Essential Pharmacy",1779737,1302390757,1144954060
8718,"Family Fare",2353882,2713252335,2101521335
4647,Goodstart,1961556,537741168,446747643
2593,"Health Harvest",1624799,523880231,443018471
7683,Lifezest,2025950,841284741,712383168
6330,"North East Pharmacy",1148223,328971413,274544896
2843,"Pharma Street",2069064,1090037960,891388746
7701,Protowell,608743,207247332,172755637
8795,"Rejuvva Drugs",26149,13851643,9799304
8982,"Roosevelt Clinic",1327434,731027175,599067425
5598,"Southwest Pharmacy",2362290,1197894071,1093432666
5947,"Union Center Pharmacy",525973,276049415,231445784
5929,"Alliance Community",692778,312923570,250848692
4106,"Central Rx",1231252,311988000,264913516
4922,Crossroads,1725668,544652146,484892761
7649,"Friends & Family Pharmacy",390722,187349183,167570586
1987,Healthbest,755822,218468419,184277264
5480,"Kerr Drug",1210139,760170824,650805099
9169,"Lowry’s Prescriptions",2317972,1567965226,1292385700
6029,"Northport Pharmacy",2252841,799304885,675825636
9403,"Pharmaca Integrative",1119605,553448249,478359501
5527,"Providence Plaza",221690,25824314,23741784
5450,"Reliable Rexall",315116,155023950,119214318
9139,"Revco Discount Drugs",23941,2392477,1853680
5294,"The Chemist",431798,62512075,51674341
6674,"The Downtown Dispensary",95150,10663964,8604277
4938,"University Pharmacy",2446738,738038620,612873043
2165,"Wellness RX",2198191,816730791,666755422
9647,"Covenant Pharmacy",1219209,355509782,309921760
9675,"Customceutical Compounding",1233226,769903757,637491858
9645,"Frost Medical Pharmacy",1851504,858396304,694079844
6847,"Globe Pharmacy",1334737,911674131,785159664
8669,"Greensburg Family Pharmacy",418655,213017493,173016890
6998,Healthlink,339859,52171193,43270730
1628,"IDL Drug Stores",831489,228952958,186531555
4749,Lifechek,2181452,1153575576,1040642220
8829,"Lyfe Pharmacy",812546,922977406,805653572
1724,Mediserv,668429,684803504,651241410
3253,Omnicare,1004977,563151076,488123053
9010,"Pavilions Pharmacy",930345,439490052,371174286
9517,"Pharmacy Partners",1787094,426516809,368683242
5564,"Publix Pharmacy",1518336,651128027,570371308
8594,"Right Drugs",1623195,586623674,497282212
8737,"RX Express",1713696,838357125,698398650
1145,"Spot Rx",2377271,931866207,802706589
3810,"Trinity Pharmacy",550617,221012238,187685186
5834,"Vista Pharmacy",1537524,628366503,549140661
3563,Vitasource,616632,106993569,88859001
5531,Wellocity,1761337,679174565,571880953
8628,Zenrx,1573645,1343240687,1005944021
8320,"Adams Drugs",1934871,993238864,850043194
5953,"Brennen Drugs Co",1283278,329851301,283121063
7999,"Cherry Street Pharmacy",567687,226608680,189533051
7637,"City Drug",718527,351565079,278148718
