planName,Max_Claimed_Disease,Claim_count
"Bajaj Allianz Bharat Bhraman Insurance Policy",Obesity,37
"E Travel Value policy","Diabetes mellitus type 2",36
"Group Business Travelers Insurance Policy","Epilepsy, Stroke, Coronary heart disease",31
"Group Hospital Cash Policy","Tourette syndrome",33
"IRCTC Air Care Policy","Tourette syndrome",37
"Pravasi Bharatiya Bima Yojana Policy�","Diabetes mellitus type 1, Anxiety disorder",47
"Travel Assist Card�","Dilated cardiomyopathy",38
"Travel Companion","Alzheimer's disease, Low back pain",29
"Travel Elect (Group)","Chronic obstructive pulmonary disease",41
"Travel Insurance for E- ticket Passengers-For(IRCTC)","Lupus, Chronic fatigue syndrome, Guillain–Barré syndrome, Depression",42
"Travel Prime Holiday Insurance Policy (Group)","Guillain–Barré syndrome",27
"Travel Prime Policy","Panic disorder",36
