companyID,avg_bal_2k22(companyID)
1118,555093
1409,610306
1583,520585
1839,496111
1933,521950
1999,416748
2295,557584
2725,474181
3035,569748
3489,460684
3827,440296
4559,415744
4872,548097
4987,422236
5173,477274
6293,336435
6327,474454
6403,488809
6642,512552
6772,596970
6942,529724
6951,505996
7130,407120
7287,572881
7330,577946
7459,512122
7580,562447
7618,403162
7710,690430
7825,513875
7844,537031
7923,474202
8136,612210
8247,564553
8267,496298
8737,435627
8784,582480
8799,452105
8983,428940
9201,468224
9461,496555
9822,554715
9954,515320
