diseaseID,planName,plan_claimed,Plan_Count
1,"Alpa Bima � Group",1,1
1,"Arogya Raksha- Group Health Insurance Scheme",1,2
1,"Arogya Sanjeevani",1,3
1,"Arogya Supreme",1,4
1,"Care Classic",1,5
1,"Care Plus",1,6
1,"Chola Group EMI Protect",1,7
1,"Chola Group Top Up Protect",1,8
1,"Digit Group Total Protect Policy",1,9
1,"Digit On -the- Move Group Policy",1,10
1,"Easy Travel",1,11
1,"Family Health Optima�",1,12
1,"Family Shield",1,13
1,"Flexi Health Protect(Group)",1,14
1,"Flexi Max Protect",1,15
1,"Future Health Protect � Group",1,16
1,"Future Hospicash",1,17
1,"Future Vector Care (Group)",1,18
1,"Group Business Travelers Insurance Policy",1,19
1,"Group Corona Kavach Policy",1,20
1,"Group Credit Protection Policy",1,21
1,"Group Credit Secure Plus",1,22
1,"Group Hospital Cash Policy",1,23
1,"Group Loan Insurance",1,24
1,"Group Safeguard Insurance",1,25
1,"Group Safeguard Micro Insurance",1,26
1,"Group Saral Suraksha Bima-Care Health Insurance",1,27
1,"Health Prime -Rider for Health Products",1,28
1,"Health Prime (Group)",1,29
1,"Health Total",1,30
1,"Home Care Treatment",1,31
1,"ICICI LOMBARD COMPLETE HEALTH INSURANCE",1,32
1,"Income Protect",1,33
1,"IRCTC Air Care Policy",1,34
1,"Kotak Accident Care",1,35
1,"Kotak Group Accident Protect - Micro Insurance",1,36
1,"Kotak Group Health Assure",1,37
1,"Kotak Secure Shield",1,38
1,"Medi classic Insurance Policy (Individual)",1,39
1,"Mosquito Disease Protection Policy � Group",1,40
1,"my: health medisure Super Topup",1,41
1,"my:credit�Comprehensive Suraksha",1,42
1,"my:health�Comprehensive Suraksha - Group",1,43
1,"my:health�Critical Suraksha Plus",1,44
1,"my:health�Women Suraksha",1,45
1,"Navi Health Accident",1,46
1,"Navi Health CritiCare",1,47
1,"Navi Health Group Insurance",1,48
1,"Navi Health Group Personal Accident Insurance",1,49
1,"Navi Health Group Seasonal Byte",1,50
1,"Navi Health Seasonal Byte",1,51
1,"Optional Travel Insurance for E-ticket passengers - IRCTC",1,52
1,"Overseas Group Travel Insurance",1,53
1,"Personal Care Insurance Policy",1,54
1,"Quick Health",1,55
1,"Rashtriya Swasthya Bima Yojana",1,56
1,"Saral Suraksha Bima-Group",1,57
1,"Star Cardiac Care Insurance Policy",1,58
1,"Star Comprehensive Insurance Policy",1,59
1,"Sukshma Hospi-Cash Group (Micro-Insurance Product)",1,60
1,"Super Top-up Medicare Policy",1,61
1,"Surakshit Loan Bima",1,62
1,"Tele OPD Consultation Rider",1,63
1,"Travel Assist Card�",1,64
1,"Travel Corona Protect- International (Group)",1,65
1,"Travel Insurance�",1,66
1,"Voyager Travel Insurance (Group)",1,67
1,"�Arogya Plus Policy",1,68
1,"�Arogya Top up Policy",1,69
1,"Sukshma Hospi-Cash (Micro-Insurance Product)",4,1
1,TravelAssure,4,2
2,"Arogya Sanjeevani",1,1
2,"Bajaj Allianz Bharat Bhraman Insurance Policy",1,2
2,"Care Classic",1,3
2,"Care Plus",1,4
2,"Corona Kavach Policy",1,5
2,"Diabetes Safe Insurance Policy",1,6
2,"Edelweiss HealthPlus Policy",1,7
