pharmacyID,pharmacyName,Prescription_Count,Medicine_Count
9296,"Gem Drugs",27,43
7448,"Central Drug Store",29,39
5058,"Bio Scrip",26,37
6914,"Prescription Lifeline",22,37
2426,"Lifeshave Pharmacy",21,36
9681,"Be Well",23,35
3651,"Good RX",25,34
3536,"Outpatient Pharmacy",24,34
5659,"True Pill",23,32
2165,"Wellness RX",22,31
5531,Wellocity,22,31
4866,"Pacific Medical",21,31
7357,MedShoppe,20,31
5294,"The Chemist",18,31
6444,Postmeds,18,31
8594,"Right Drugs",18,31
4251,Sav-On,23,30
9647,"Covenant Pharmacy",21,30
2301,HealthDirect,19,30
1293,"Fry’s Pharmacy",21,29
8549,"Cash Saver Pharmacy",15,29
5904,Neighborcare,22,28
2066,"Drug Blend",20,28
5144,"Northwest Medication Management",19,28
2416,"Max Health",18,28
3352,Wellwise,18,28
5866,Carepoint,18,28
9999,"Planet Health",18,28
3253,Omnicare,17,28
9387,"Rocky’s Drug",25,27
9580,"Health Corner",20,27
9790,"Wellness Craft",20,27
8442,"Wellman’s Pharmacy",19,27
3570,"Pill Pack",17,27
5381,"Pharma First",16,27
1332,"Rite Aid",20,26
1584,Sunwest,20,26
1731,"Thrifty Way Pharmacy",20,26
7016,"Southside Family Pharmacy",20,26
5527,"Providence Plaza",19,26
5564,"Publix Pharmacy",19,26
8829,"Lyfe Pharmacy",19,26
9403,"Pharmaca Integrative",19,26
1386,GenScripts,18,26
2245,Rxtra,18,26
8184,Apotheco,18,26
9659,"Express Scripts",18,26
5271,"Eastside Pharmacy and Compounding",16,26
1882,PersonalRX,15,26
3673,"Pharmacy Express",20,25
1987,Healthbest,18,25
5200,"Heartland Pharmacy",18,25
5403,"Confidential Drug",17,25
8669,"Greensburg Family Pharmacy",17,25
8737,"RX Express",17,25
9405,"Priority Pharmacy",16,25
2060,"Prescription Hope",21,24
1478,Pocketpills,20,24
4025,"Keystone Pharmacy",20,24
7999,"Cherry Street Pharmacy",20,24
1724,Mediserv,18,24
3515,"Wellport Drugs",18,24
6674,"The Downtown Dispensary",17,24
4137,MedOne,16,24
4996,"Banks Apothecary",16,24
6576,"Care Pharmacy",16,24
1795,"Pure Life",15,24
3628,"Midtown Express",15,24
7865,OptumRx,15,24
4827,"Northwest Pharmacy",20,23
1574,"ScriptSite Specialty",19,23
3703,"Bioplus Specialty",19,23
7085,"Community Pharmacy",19,23
2836,"Discount Drug Mart",18,23
3799,"Newday Drug Store",16,23
5947,"Union Center Pharmacy",16,23
6717,"DFW Wellness",16,23
9325,"Sharp Specialty Pharmacy",16,23
9645,"Frost Medical Pharmacy",16,23
5100,"Eastlake Pharmacy",15,23
5598,"Southwest Pharmacy",15,23
8795,"Rejuvva Drugs",15,23
9800,"Maplewood Pharmacy",15,23
1204,"Family Drug Mart",19,22
1755,"Health Warehouse",19,22
2218,Heallergy,19,22
4326,Pharmanic,19,22
5929,"Alliance Community",19,22
1396,"Sand Point Pharmacy",18,22
8265,"Pharmacy Alliance",18,22
6018,"Jack’s Discount Pharmacy",17,22
5450,"Reliable Rexall",16,22
8897,MedSavvy,16,22
9675,"Customceutical Compounding",16,22
1149,"Modern Health",15,22
8824,"Holloway Pharmacy",15,22
4106,"Central Rx",14,22
2593,"Health Harvest",19,21
2906,"Powerhouse Pharmacy",18,21
7182,"Health Hexa Drugs",18,21
3469,"Concord Pharmacy",17,21
5480,"Kerr Drug",17,21
8109,"Premier Long Term Care Pharm",16,21
8142,"RX Universal",16,21
1008,MobiMeds,15,21
6984,"Gateway Medical",15,21
8173,"Innovia Drug Stores",15,21
8315,RefillWise,14,21
9239,ScriptSave,13,21
4891,Medisuite,12,21
2563,PharmaMed,16,20
5834,"Vista Pharmacy",16,20
7887,"The Rx Advocates",16,20
2356,RxToMe,15,20
6194,"Bartell Drugs",15,20
7649,"Friends & Family Pharmacy",15,20
7759,"Beyond Health",15,20
8718,"Family Fare",15,20
1624,Caremark,14,20
2847,"Smart Pharmacy",14,20
4749,Lifechek,14,20
5565,"Health Hub",14,20
6998,Healthlink,14,20
8320,"Adams Drugs",14,20
8760,"Discount Drugs",14,20
9869,"Health Aura",14,20
4707,"Lakeside Pharmacy",17,19
3176,"Essential Pharmacy",16,19
7532,"Sure Save",16,19
3348,MedMinder,15,19
4938,"University Pharmacy",15,19
9324,"Geneva Woods",15,19
5683,"Med-X Drug",14,19
6971,"Hearty Mart",14,19
2843,"Pharma Street",13,19
3803,"First Care Rx",13,19
9969,"Good Neighbor Pharmacy",13,19
3303,"Reliable Pharmacy",12,19
6611,Medlife,16,18
1891,Welltrack,15,18
2822,"Fisher Pharmacy & Gifts",15,18
4221,"Below Drug",15,18
5953,"Brennen Drugs Co",15,18
7637,"City Drug",15,18
7701,Protowell,15,18
5658,Goodness,14,18
9707,"Better You",14,18
9517,"Pharmacy Partners",13,18
2449,"Simple Meds",12,18
4636,"Hometown Pharmacy Services",12,18
5976,"Pride Pharmacy",12,18
6004,"Longhorn Pharmacy",12,18
1628,"IDL Drug Stores",11,18
7683,Lifezest,16,17
1609,"The Compounding Pharmacy",14,17
1925,"Everyday Drugs",14,17
7472,"Absolute Care",14,17
8404,"Atlas Drugs",14,17
9255,PrecisionMed,14,17
9938,MedImpact,14,17
2821,Wellfresh,13,17
4269,"Cardinal Health",13,17
6840,"First Hill Pharmacy",13,17
7435,"Good Life Rx",13,17
7454,"The Pill Club",13,17
1354,HealthMart,12,17
6957,"Express Food & Pharmacy",12,17
5644,"Dakota Drug",10,17
1145,"Spot Rx",13,16
4905,"Cedra Pharmacy",13,16
5626,"Doc Your Dose Pharmacy",13,16
9139,"Revco Discount Drugs",13,16
4380,"Healthy Floyds",12,16
5246,"Better Life",12,16
4922,Crossroads,9,16
9010,"Pavilions Pharmacy",13,15
1194,"Foundation Care",12,15
5155,"Guardian Pharmacy",12,15
