companyID,companyName,planName,Number_of_claims
1118,"Star Health and Allied Insurrance Co. Ltd.","Star Group Health Insurance Policy � Gold (For Bank Customers)",30
1409,"Niva Bupa Health Insurance Co. Ltd.","Smart Health + (Add-On)",41
1409,"Niva Bupa Health Insurance Co. Ltd.","Zero Co-Pay",28
1583,"Iffco Tokio General Insurance Company Ltd.","Wellness Addon",36
1583,"Iffco Tokio General Insurance Company Ltd.","Welness Benefit Addon(Group)",32
1839,"Bajaj Allianz General Insurance Co. Ltd.�","Family Care",49
1839,"Bajaj Allianz General Insurance Co. Ltd.�","M Care (Group)",41
1839,"Bajaj Allianz General Insurance Co. Ltd.�","M Care�",36
1933,"HDFC ERGO General Insurance Company Ltd.","Optima Restore",43
1933,"HDFC ERGO General Insurance Company Ltd.","Unlimited Restore (Add On )",34
1999,"Cholamandalam MS General","Chola Group Top Up Protect",23
2295,"Bajaj Allianz General Insuarnce Co. Ltd","Flexi Health Protect(Group)",38
2295,"Bajaj Allianz General Insuarnce Co. Ltd","Health Prime -Rider for Health Products",42
2295,"Bajaj Allianz General Insuarnce Co. Ltd","Health Prime (Group)",32
2295,"Bajaj Allianz General Insuarnce Co. Ltd","Silver Health",43
2295,"Bajaj Allianz General Insuarnce Co. Ltd","Travel Corona Protect- International (Group)",38
2725,"Tata AIG General Insuarnce Co Ltd","Tata AIG Criti- Medicare",37
3035,"Liberty General Insurance Ltd.","Bharat Yatra Suraksha",38
3035,"Liberty General Insurance Ltd.","Bharat Yatra Suraksha Group",38
3035,"Liberty General Insurance Ltd.","Optional Travel Insurance for E-ticket passengers - IRCTC",36
3489,"ICICI Lombard GI Co. Ltd.","Criti Shield Plus",54
3489,"ICICI Lombard GI Co. Ltd.","Domestic Travel Insurance",48
3489,"ICICI Lombard GI Co. Ltd.","Family Shield",43
3489,"ICICI Lombard GI Co. Ltd.","Globetrotter - Overseas Group Travel Insurance",49
3489,"ICICI Lombard GI Co. Ltd.","Globetrotter - Overseas Individual Student Travel Insurance",37
3489,"ICICI Lombard GI Co. Ltd.","Group Hospi Shield",36
3489,"ICICI Lombard GI Co. Ltd.","Group Personal Accident",36
3489,"ICICI Lombard GI Co. Ltd.","Group Safeguard Insurance",36
3489,"ICICI Lombard GI Co. Ltd.","Group Safeguard Micro Insurance",25
3489,"ICICI Lombard GI Co. Ltd.","Health Booster",28
