medicineID,companyName,productName,description,substanceName,producttype,taxCriteria,hospitalexclusive,governmentdiscount,taxImunity,maxPrice
3,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA",TEICOPLANINA,"400 MG PO LIOFILIZADO SOL INJ CX C/ 1 FR/AMP X 3 M",NC/NI,Generic,I,N,N,N,296.38
5,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA",OXALIPLATINA,"50 MG PO LIOFILIZADO FR/AMP X 500 MG",NC/NI,Generic,I,N,N,N,1186.81
11,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA",TEICOPLANINA,"200 MG PO LIOFILIZADO SOL INJ CX C/ 1 FR/AMP X 3 M",NC/NI,Generic,I,N,N,N,148.46
12,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA",OXALIPLATINA,"100 MG PO LIOFILIZADO FR/AMP X 1000 MG",NC/NI,Generic,I,N,N,N,2373.63
13,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA","SULBACTAM SODICO + AMPICILINA SODICA","1 G + 2 G CT FR AMP VD INC",NC/NI,Similar,II,N,N,N,29.59
14,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA",PACLITAXEL,"6 MG/ML SOL INJ CT FR/AMP X 50 ML",NC/NI,Generic,I,N,N,N,4122.12
15,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA",PACLITAXEL,"6 MG/ML SOL INJ CX C/ 1 FR/AMP X 17 ML",NC/NI,Generic,I,N,N,N,1388.75
26,"SANOFI MEDLEY FARMACEUTICA LTDA.",AMPLOTAL,"1000 MG CX C/FA + DIL","ampicilina sodica|ampicilina benzatina",Similar,II,N,N,N,7.93
74,"LABORATORIO SANOBIOL LIMITADA","SOLUCAO FISIOLOGICA DE RINGER COM LACTATO DE SODIO","SOL INJ CX 20 FR 500 ML","lactato de sodio|cloreto de sodio|cloreto de potassio|cloreto de calcio",Specific,II,N,N,N,2.39
98,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA",DOCETAXEL,"80 MG SOL INJ FR/AMP 2 ML + FR DIL X 6 ML",NC/NI,Generic,I,N,N,N,2120.86
106,"MERCK S/A",ATENOLOL,"100 MG COM EST FR PLAS OPC X 30",atenolol,Generic,I,N,N,N,18.52
121,"LATINOFARMA INDUSTRIAS FARMACEUTICAS LTDA",TOBRACIN-D,"3 MG/ML + 1 MG/ML SUS OFT CT FR PLAS TRANS GOT X 5 ML",tobramicina|dexametasona,Similar,II,N,N,N,26.49
125,"WYETH INDUSTRIA FARMACEUTICA LTDA","ATORVASTATINA CALCICA","10 MG COM REV CT BL AL/AL X 30","atorvastatina calcica",Generic,I,N,S,S,48.30
126,"LABORATORIOS PFIZER LTDA",CADUET,"10 MG + 20 MG COM REV CT BL AL/AL X 30","besilato de anlodipino|atorvastatina calcica",New,II,N,N,N,246.23
133,"BIOSINTETICA FARMACEUTICA LTDA",SINVASTATINA,"40 MG COM REV CT BL AL PVC/PVDC X 30",sinvastatina,Generic,I,N,N,S,103.86
136,"BIOSINTETICA FARMACEUTICA LTDA",OMEPRAZOL,"20 MG CAP GEL MCGRAN CT BL AL PLAS INC X 7",omeprazol,Generic,I,N,N,N,28.24
140,"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.","FUMARATO DE QUETIAPINA","200 MG COM REV CT BL AL PLAS INC X 200 (EMB HOSP)","hemifumarato de quetiapina",Generic,I,S,S,S,2663.62
142,"EUROFARMA LABORATORIOS S.A.","OXACILINA SODICA","500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP PLAS OPC X 5 ML (EMB HOSP)","oxacilina sodica",Generic,I,S,N,N,149.92
143,"EUROFARMA LABORATORIOS S.A.","CLORIDRATO DE PAROXETINA","20 MG COM REV CT BL AL PLAS INC X 30","cloridrato de paroxetina",Generic,I,N,N,N,102.95
146,"EUROFARMA LABORATORIOS S.A.","CLORIDRATO DE MEMANTINA","10 MG COM REV CT BL AL PLAS INC X 30","cloridrato de memantina",Generic,I,N,N,N,66.22
147,"BIOLAB FARMA GENERICOS LTDA","CLORIDRATO DE CIPROFLOXACINO","250 MG COM REV CT BL AL PLAS INC X 06","cloridrato de ciprofloxacino",Generic,I,N,N,S,30.36
151,"EUROFARMA LABORATORIOS S.A.",ANATEN,"5.0 MG + 50 MG CAP GEL DURA CT BL AL PLAS INC X 30","besilato de anlodipino|atenolol",Similar,II,N,N,N,62.62
153,"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.","FUMARATO DE QUETIAPINA","100 MG COM REV CT BL AL PLAS INC X 28","hemifumarato de quetiapina",Generic,I,N,S,S,207.29
159,"PRATI DONADUZZI & CIA LTDA",FUROSEMIDA,"40 MG COM CT BL AL PVC OPC X 20",furosemida,Generic,I,N,N,N,6.72
162,"ARISTON INDUSTRIAS QUIMICAS E FARMACEUTICAS LTDA",DALIVIT,"INJ CX C/ 50 AMP A + 50 AMP B","acido ascorbico|riboflavina|nicotinamida|frutose|fosfato de sodio (32P)|cloridrato de piridoxina|cianocobalamina",Similar,II,N,N,N,239.62
163,"INDUSTRIA FARMACEUTICA BASA LTDA",GLICOSE,"SOL INJ. FR. 500 ML",glicose,Specific,II,N,N,N,2.56
170,"APOTEX DO BRASIL LTDA",CAPTOPRIL,"COMP. 12.5MG CX 3 BL X 10",captopril,Generic,I,N,N,N,7.95
171,"aster produtos medicos ltda","FOSFATO DE POTASSIO","AMP 10 ML","fosfato de potassio monobasico",Specific,II,N,N,N,1.19
174,"APOTEX DO BRASIL LTDA",PIROXICAM,"CAPS 20MG CX 1 BL X 15",piroxicam,Generic,I,N,N,N,8.88
188,"EMS S/A",PIROXICAM,"5 MG/G GEL CT BG AL X 30 G",piroxicam,Generic,I,S,N,N,17.04
189,"EMS S/A",CEFALEXINA,"50 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED","cefalexina monoidratada",Generic,I,N,N,N,36.04
190,"EMS S/A",PREDINISONA,"20 MG COM CT  BL AL PLAS INC X 30 (EMB FRAC)",prednisona,Generic,I,N,N,N,37.65
197,"EMS S/A","LOSARTANA POTASSICA","100  MG COM REV CT BL AL PLAS LEIT X 30","losartana potassica",Generic,I,N,N,N,49.16
199,"ACCORD FARMACEUTICA LTDA","MICOFENOLATO DE MOFETILA","500 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP)","micofenolato de mofetila",Generic,I,S,S,S,5417.22
200,"SANOFI MEDLEY FARMACEUTICA LTDA.","BESILATO DE ANLODIPINO","5.0 MG COM CT BL AL PLAS OPC X 30","besilato de anlodipino",Generic,I,N,N,N,22.98
219,"SANOFI MEDLEY FARMACEUTICA LTDA.",DEXAMETASONA,"CREME TOPICO 0.1%",dexametasona,Generic,I,N,N,N,73.00
238,"LIBRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA","SULBACTAM SODICO + AMPICILINA SODICA","500 MG + 1000 MG PO INJ CX C/ 1 FR/AMP 1.5 GR",NC/NI,Similar,II,N,N,N,14.79
246,"SANOFI MEDLEY FARMACEUTICA LTDA.",LANSOPRAZOL,"30 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 14",lansoprazol,Generic,I,N,N,N,40.44
307,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",QIFTRIM,"40 MG + 8 MG/ML SUS OR CT FR VD AMB X 100 ML",trimetoprima|sulfametoxazol,Similar,II,N,N,N,7.46
308,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",GLIMEPIRIDA,"2 MG COM CT BL AL PLAS INC X 60",glimepirida,Generic,I,N,N,N,42.51
309,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA","CEFTRIAXONA SODICA","500 MG PO SOL INJ IM CT FA VD INC + DIL AMP VD INC X 2 ML","ceftriaxona sodica",Generic,I,N,N,N,17.49
312,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",PIRACETAM,"800MG COMP C/30",piracetam,Generic,I,N,N,N,10.66
313,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",SINVASTATINA,"20 MG COM REV CT BL AL PLAS INC X 10",sinvastatina,Generic,I,N,N,N,20.83
321,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",SINVASTATINA,"10MG COM REV CT 3BL AL PLAS INC X 10",sinvastatina,Generic,I,N,N,N,39.41
322,"SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA",SINVASTATINA,"20MG COM REV CT 3 BL AL PLAS INC X 10",sinvastatina,Generic,I,N,N,N,44.17
