MedicineID,Quantity,Discount,Medicine_Type
17172,7504,0,"High quantity products with no discount"
41404,7560,0,"High quantity products with no discount"
53209,7618,0,"High quantity products with no discount"
39816,7664,0,"High quantity products with no discount"
19571,7756,0,"High quantity products with no discount"
15999,7790,0,"High quantity products with no discount"
26749,7835,0,"High quantity products with no discount"
35997,7853,0,"High quantity products with no discount"
50031,8094,0,"High quantity products with no discount"
43598,8327,0,"High quantity products with no discount"
5529,8474,0,"High quantity products with no discount"
9192,8512,0,"High quantity products with no discount"
807,8575,0,"High quantity products with no discount"
25319,8821,0,"High quantity products with no discount"
2791,8924,0,"High quantity products with no discount"
50220,8939,0,"High quantity products with no discount"
36453,9185,0,"High quantity products with no discount"
32313,9495,0,"High quantity products with no discount"
43387,9611,0,"High quantity products with no discount"
31111,9810,0,"High quantity products with no discount"
37372,9939,0,"High quantity products with no discount"
9530,9994,0,"High quantity products with no discount"
41511,8,30,"Low quantity products with high discounts"
25132,321,30,"Low quantity products with high discounts"
8237,384,30,"Low quantity products with high discounts"
39536,493,30,"Low quantity products with high discounts"
23972,568,30,"Low quantity products with high discounts"
38118,586,30,"Low quantity products with high discounts"
15687,680,30,"Low quantity products with high discounts"
20038,721,30,"Low quantity products with high discounts"
14240,746,30,"Low quantity products with high discounts"
