medicineID,companyName,productName,Tag
135,"PHARLAB INDUSTRIA FARMACEUTICA S.A.",BISOLPHAR,Affordable
140,"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.","FUMARATO DE QUETIAPINA",Costly
142,"EUROFARMA LABORATORIOS S.A.","OXACILINA SODICA",Affordable
149,"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.","OMEPRAZOL SODICO",Costly
152,"EUROFARMA LABORATORIOS S.A.","SOLUCAO FISIOLOGICA DE RINGER",Affordable
156,"EVOLABIS PRODUTOS FARMACEUTICOS LTDA",EVOLOX,Affordable
187,"DR. REDDYS FARMACEUTICA DO BRASIL LTDA",PACLIRED,Costly
188,"EMS S/A",PIROXICAM,Affordable
199,"ACCORD FARMACEUTICA LTDA","MICOFENOLATO DE MOFETILA",Costly
252,"FRESENIUS KABI BRASIL LTDA","AMINOPED 10%",Affordable
261,"FRESENIUS KABI BRASIL LTDA","AMINOPED 10%",Affordable
262,"FRESENIUS KABI BRASIL LTDA","BICARB. SODIO",Affordable
286,"FRESENIUS KABI BRASIL LTDA","AMINOPED 10%",Affordable
413,"FRESENIUS KABI BRASIL LTDA",LIPOVENOS,Affordable
415,"FRESENIUS KABI BRASIL LTDA","AMINOPED 10%",Affordable
417,"FRESENIUS KABI BRASIL LTDA","BICARB. SODIO",Affordable
418,"FRESENIUS KABI BRASIL LTDA","AMINOSTERIL 10% SS + GLICOSE",Affordable
604,"BAXTER HOSPITALAR LTDA",DOPAFLEX,Affordable
607,"BAXTER HOSPITALAR LTDA","HEPATASOL 8% SOLUCAO DE AMINOACIDO P/ HEPATOPATIAS 500 ML",Affordable
608,"BAXTER HOSPITALAR LTDA","HEPATASOL 8% SOLUCAO DE AMINOACIDO P/ HEPATOPATIAS 500 ML",Affordable
614,"BAXTER HOSPITALAR LTDA","CLORETO DE SODIO - BAXTER",Affordable
616,"BAXTER HOSPITALAR LTDA","CLORETO DE SODIO - BAXTER",Affordable
672,"BAXTER HOSPITALAR LTDA","AGUA ESTERIL BAXTER",Affordable
673,"BAXTER HOSPITALAR LTDA","AGUA ESTERIL BAXTER",Affordable
676,"BAXTER HOSPITALAR LTDA",GYNODAL,Affordable
678,"BAXTER HOSPITALAR LTDA","CLORETO DE SODIO - BAXTER",Affordable
681,"BAXTER HOSPITALAR LTDA","AGUA ESTERIL BAXTER",Affordable
729,"UCB BIOPHARMA LTDA.","IOR EPOCIM",Affordable
731,"UCB BIOPHARMA LTDA.",K.U.DACTINOMYCIN,Affordable
732,"UCB BIOPHARMA LTDA.","IOR LEUKOCIM",Costly
734,"UCB BIOPHARMA LTDA.","IOR EPOCIM",Costly
786,"NOVA QUIMICA FARMACEUTICA S/A",ZENUSIN,Affordable
791,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,Affordable
810,"UCB BIOPHARMA LTDA.","ALBUREX 20",Affordable
815,"UCB BIOPHARMA LTDA.",CYCRAM,Affordable
822,"UCB BIOPHARMA LTDA.",CYCRAM,Affordable
856,"UCB BIOPHARMA LTDA.","INTRAGAM P",Costly
874,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA",Costly
875,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA",Costly
877,"NOVA QUIMICA FARMACEUTICA S/A","LOSARTANA POTASSICA",Costly
891,"NOVA QUIMICA FARMACEUTICA S/A",NORFLOXACINO,Affordable
906,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO SODICO",Affordable
909,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO SODICO",Affordable
911,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO SODICO",Affordable
913,"NOVA QUIMICA FARMACEUTICA S/A","DICLOFENACO POTASSICO",Affordable
