pharmacyID,pharmacyName,diseaseID,diseaseName,prescription_count_2021,prescription_count_2022
1008,MobiMeds,20,"Dilated cardiomyopathy",2,1
1008,MobiMeds,28,"Myocardial infarction",2,1
1008,MobiMeds,12,"Chronic fatigue syndrome",1,1
1008,MobiMeds,19,"Diabetes mellitus type 2",1,1
1008,MobiMeds,22,"Guillain–Barré syndrome",1,1
1008,MobiMeds,23,"Irritable bowel syndrome",1,1
1008,MobiMeds,29,Obesity,1,1
1145,"Spot Rx",29,Obesity,2,2
1145,"Spot Rx",9,"Autoimmune diseases",2,1
1145,"Spot Rx",13,"Chronic obstructive pulmonary disease",1,1
1145,"Spot Rx",17,Depression,1,1
1145,"Spot Rx",18,"Diabetes mellitus type 1",1,1
1145,"Spot Rx",33,Psoriasis,1,1
1145,"Spot Rx",37,Stroke,1,1
1145,"Spot Rx",38,"Thromboangiitis obliterans",1,1
1149,"Modern Health",9,"Autoimmune diseases",1,1
1194,"Foundation Care",24,"Low back pain",2,1
1194,"Foundation Care",35,Sarcoidosis,2,1
1194,"Foundation Care",1,"Alzheimer's disease",1,1
1194,"Foundation Care",10,"Bipolar disorder",1,1
1194,"Foundation Care",12,"Chronic fatigue syndrome",1,1
1204,"Family Drug Mart",9,"Autoimmune diseases",1,2
1204,"Family Drug Mart",1,"Alzheimer's disease",1,1
1204,"Family Drug Mart",11,Cancer,1,1
1204,"Family Drug Mart",13,"Chronic obstructive pulmonary disease",1,1
1204,"Family Drug Mart",18,"Diabetes mellitus type 1",1,1
1204,"Family Drug Mart",19,"Diabetes mellitus type 2",1,1
1204,"Family Drug Mart",23,"Irritable bowel syndrome",1,1
1204,"Family Drug Mart",24,"Low back pain",1,1
1204,"Family Drug Mart",27,"Multiple sclerosis",1,1
1204,"Family Drug Mart",29,Obesity,1,1
1204,"Family Drug Mart",30,"Obsessive–compulsive disorder",1,1
1204,"Family Drug Mart",31,"Panic disorder",1,1
1248,"New Era",16,Dementia,2,1
1248,"New Era",32,"Parkinson's disease",1,2
1248,"New Era",40,Vasculitis,1,2
1248,"New Era",5,Asthma,1,1
1248,"New Era",38,"Thromboangiitis obliterans",1,1
1293,"Fry’s Pharmacy",37,Stroke,2,1
1293,"Fry’s Pharmacy",40,Vasculitis,1,4
1293,"Fry’s Pharmacy",23,"Irritable bowel syndrome",1,2
1293,"Fry’s Pharmacy",20,"Dilated cardiomyopathy",1,1
1293,"Fry’s Pharmacy",24,"Low back pain",1,1
1293,"Fry’s Pharmacy",33,Psoriasis,1,1
1293,"Fry’s Pharmacy",35,Sarcoidosis,1,1
1332,"Rite Aid",39,"Tourette syndrome",3,1
1332,"Rite Aid",24,"Low back pain",1,3
1332,"Rite Aid",38,"Thromboangiitis obliterans",1,3
1332,"Rite Aid",1,"Alzheimer's disease",1,1
1332,"Rite Aid",29,Obesity,1,1
1332,"Rite Aid",34,"Rheumatoid arthritis",1,1
1354,HealthMart,24,"Low back pain",2,1
1354,HealthMart,33,Psoriasis,1,3
1354,HealthMart,6,Atherosclerosis,1,1
1354,HealthMart,14,"Crohn's disease",1,1
1354,HealthMart,21,Epilepsy,1,1
1386,GenScripts,3,"Anorexia nervosa",1,2
1386,GenScripts,14,"Crohn's disease",1,1
1386,GenScripts,18,"Diabetes mellitus type 1",1,1
1386,GenScripts,34,"Rheumatoid arthritis",1,1
1386,GenScripts,36,Schizophrenia,1,1
1396,"Sand Point Pharmacy",30,"Obsessive–compulsive disorder",1,2
1396,"Sand Point Pharmacy",3,"Anorexia nervosa",1,1
1478,Pocketpills,27,"Multiple sclerosis",2,2
1478,Pocketpills,15,"Coronary heart disease",2,1
1478,Pocketpills,3,"Anorexia nervosa",1,1
1478,Pocketpills,9,"Autoimmune diseases",1,1
1478,Pocketpills,28,"Myocardial infarction",1,1
1478,Pocketpills,37,Stroke,1,1
1570,"White Pigeon Pharmacy",34,"Rheumatoid arthritis",2,1
1570,"White Pigeon Pharmacy",11,Cancer,1,1
1570,"White Pigeon Pharmacy",19,"Diabetes mellitus type 2",1,1
1570,"White Pigeon Pharmacy",23,"Irritable bowel syndrome",1,1
1570,"White Pigeon Pharmacy",35,Sarcoidosis,1,1
1574,"ScriptSite Specialty",3,"Anorexia nervosa",2,1
1574,"ScriptSite Specialty",21,Epilepsy,2,1
1574,"ScriptSite Specialty",12,"Chronic fatigue syndrome",1,1
1574,"ScriptSite Specialty",23,"Irritable bowel syndrome",1,1
1574,"ScriptSite Specialty",29,Obesity,1,1
1574,"ScriptSite Specialty",38,"Thromboangiitis obliterans",1,1
1584,Sunwest,1,"Alzheimer's disease",2,1
1584,Sunwest,2,"Amyotrophic lateral sclerosis",1,1
1584,Sunwest,11,Cancer,1,1
1584,Sunwest,17,Depression,1,1
1609,"The Compounding Pharmacy",16,Dementia,2,1
1609,"The Compounding Pharmacy",32,"Parkinson's disease",2,1
1624,Caremark,3,"Anorexia nervosa",2,2
1624,Caremark,11,Cancer,1,1
1624,Caremark,15,"Coronary heart disease",1,1
1624,Caremark,17,Depression,1,1
1624,Caremark,21,Epilepsy,1,1
1628,"IDL Drug Stores",22,"Guillain–Barré syndrome",2,1
1628,"IDL Drug Stores",2,"Amyotrophic lateral sclerosis",1,1
1628,"IDL Drug Stores",14,"Crohn's disease",1,1
1724,Mediserv,34,"Rheumatoid arthritis",2,1
1724,Mediserv,35,Sarcoidosis,2,1
1724,Mediserv,40,Vasculitis,2,1
1724,Mediserv,20,"Dilated cardiomyopathy",1,1
1724,Mediserv,22,"Guillain–Barré syndrome",1,1
1724,Mediserv,31,"Panic disorder",1,1
1731,"Thrifty Way Pharmacy",36,Schizophrenia,2,1
1731,"Thrifty Way Pharmacy",5,Asthma,1,1
1731,"Thrifty Way Pharmacy",8,Autism,1,1
1731,"Thrifty Way Pharmacy",9,"Autoimmune diseases",1,1
1731,"Thrifty Way Pharmacy",10,"Bipolar disorder",1,1
1731,"Thrifty Way Pharmacy",14,"Crohn's disease",1,1
1731,"Thrifty Way Pharmacy",21,Epilepsy,1,1
1731,"Thrifty Way Pharmacy",29,Obesity,1,1
1755,"Health Warehouse",1,"Alzheimer's disease",1,1
1755,"Health Warehouse",8,Autism,1,1
1755,"Health Warehouse",22,"Guillain–Barré syndrome",1,1
1755,"Health Warehouse",24,"Low back pain",1,1
1755,"Health Warehouse",33,Psoriasis,1,1
1766,"Pharma Best",14,"Crohn's disease",1,2
1766,"Pharma Best",12,"Chronic fatigue syndrome",1,1
1766,"Pharma Best",31,"Panic disorder",1,1
1795,"Pure Life",31,"Panic disorder",1,2
1795,"Pure Life",11,Cancer,1,1
1795,"Pure Life",15,"Coronary heart disease",1,1
1795,"Pure Life",27,"Multiple sclerosis",1,1
1795,"Pure Life",39,"Tourette syndrome",1,1
1882,PersonalRX,24,"Low back pain",1,2
1882,PersonalRX,3,"Anorexia nervosa",1,1
1882,PersonalRX,18,"Diabetes mellitus type 1",1,1
1882,PersonalRX,20,"Dilated cardiomyopathy",1,1
1891,Welltrack,13,"Chronic obstructive pulmonary disease",1,2
1891,Welltrack,39,"Tourette syndrome",1,2
1891,Welltrack,4,"Anxiety disorder",1,1
1925,"Everyday Drugs",12,"Chronic fatigue syndrome",1,3
1925,"Everyday Drugs",5,Asthma,1,2
1925,"Everyday Drugs",6,Atherosclerosis,1,1
1925,"Everyday Drugs",14,"Crohn's disease",1,1
1925,"Everyday Drugs",24,"Low back pain",1,1
1987,Healthbest,16,Dementia,1,2
1987,Healthbest,8,Autism,1,1
1987,Healthbest,12,"Chronic fatigue syndrome",1,1
1987,Healthbest,20,"Dilated cardiomyopathy",1,1
2060,"Prescription Hope",3,"Anorexia nervosa",1,1
2060,"Prescription Hope",38,"Thromboangiitis obliterans",1,1
2060,"Prescription Hope",39,"Tourette syndrome",1,1
2066,"Drug Blend",16,Dementia,2,1
2066,"Drug Blend",40,Vasculitis,2,1
2066,"Drug Blend",28,"Myocardial infarction",1,2
2066,"Drug Blend",2,"Amyotrophic lateral sclerosis",1,1
2066,"Drug Blend",13,"Chronic obstructive pulmonary disease",1,1
2066,"Drug Blend",20,"Dilated cardiomyopathy",1,1
2066,"Drug Blend",26,"Metabolic syndrome",1,1
2165,"Wellness RX",25,Lupus,1,3
2165,"Wellness RX",4,"Anxiety disorder",1,1
2209,"Blink Health",7,"Attention deficit hyperactivity disorder",1,1
2209,"Blink Health",26,"Metabolic syndrome",1,1
2209,"Blink Health",31,"Panic disorder",1,1
2218,Heallergy,10,"Bipolar disorder",2,1
2218,Heallergy,5,Asthma,1,1
