companyID,companyName,Number_of_states,states,patient_count
1118,"Star Health and Allied Insurrance Co. Ltd.",1,OK,5
1409,"Niva Bupa Health Insurance Co. Ltd.",3,"AK, CA, OK",8
1583,"Iffco Tokio General Insurance Company Ltd.",1,CT,8
1839,"Bajaj Allianz General Insurance Co. Ltd.�",2,"CA, CO",13
1933,"HDFC ERGO General Insurance Company Ltd.",1,CA,11
1999,"Cholamandalam MS General",1,AL,5
2295,"Bajaj Allianz General Insuarnce Co. Ltd",1,CA,22
2725,"Tata AIG General Insuarnce Co Ltd",3,"TN, MA, CA",4
3035,"Liberty General Insurance Ltd.",4,"CA, DC, CO, AL",11
3489,"ICICI Lombard GI Co. Ltd.",1,CA,90
3827,"United India Insurance Co. Ltd.",1,GA,17
4559,"Tata AIG General Insurance Co. Ltd.",1,CA,18
4872,"Raheja QBE General Insurance Co. Ltd.",1,CA,7
4987,"Kotak Mahindra General Insurance Co. Ltd.",1,CA,17
5173,"Acko General Insurance Ltd.�",1,FL,6
6293,"Care Health Insurance Co. Ltd",1,CA,6
6327,"Future Generali India Insurance Co. Ltd.",1,CA,42
6403,"Bajaj Allianz General Insurance Co Ltd�",1,CA,46
6642,"Cholamandalam MS General Insurance Co. Ltd.",1,CA,14
6772,"Future Generali Indis Insurance Co. Ltd",1,DC,5
6942,"Niva Bupa Health Insurance co ltd",1,CA,40
6951,"Star Health & Allied Insurance Co. Ltd.�",1,CA,60
7130,"Max Bupa Health Insurance Co. Ltd.",2,"OK, CA",4
7287,"HDFC ERGO General Insurance company Ltd�",1,CA,20
7330,"Future Generali India Insurance Company Limited.���",1,VT,9
7459,"HDFC ERGO General Insurance Co. Ltd.�",1,CA,59
7580,"Care Health Insurance Co. Ltd�",1,AL,5
7618,"SBI General Insurance Co. Ltd.",1,AL,5
7710,"National Insurance Co. Ltd.",1,CT,7
7825,"Kotak Mahindra General Insurance Company Ltd.",1,OK,16
7844,"Cholamandalam MS General Insurance Co. Ltd",1,DC,6
7923,"Aditya Birla Health Insurance Co. Ltd",1,CA,18
8136,"Edelweiss General Insurance Co. Ltd.",1,TN,6
8247,"Care Health Insurance Ltd.",2,"AL, CA",9
8267,"The Oriental��Insurance Co. Limited",1,AL,12
8737,"Aditya Birla Health Insurance Co. Ltd.",1,AL,7
8784,"The New India Assurance Co.Ltd.�",3,"DC, OK, GA",5
8799,"Universal Sompo GIC",1,FL,12
8983,"SBI General Insurance Co.Ltd.",1,CA,27
9201,"Go Digit General Insurance Co.Ltd",1,CA,17
9461,"Star Health and Allied Insurrance Co.",1,CA,20
9822,"United India Insurance Co.Ltd.",1,CA,12
9954,"Navi General Insurance Ltd.",1,CA,57
