pharmacyID,pharmacyName,Total_Quantity,Hospital_Exclusive_Quantity,Percentage_Hospital_Exclusive
5246,"Better Life",159,50,31.4465
9999,"Planet Health",547,167,30.5302
6914,"Prescription Lifeline",796,231,29.0201
5866,Carepoint,931,267,28.6788
8549,"Cash Saver Pharmacy",763,210,27.5229
4025,"Keystone Pharmacy",553,152,27.4864
7532,"Sure Save",561,151,26.9162
5200,"Heartland Pharmacy",766,203,26.5013
2426,"Lifeshave Pharmacy",1136,289,25.4401
5953,"Brennen Drugs Co",383,96,25.0653
9675,"Customceutical Compounding",525,131,24.9524
9010,"Pavilions Pharmacy",335,82,24.4776
9647,"Covenant Pharmacy",803,195,24.2839
3703,"Bioplus Specialty",445,108,24.2697
6971,"Hearty Mart",541,131,24.2144
6674,"The Downtown Dispensary",415,100,24.0964
1624,Caremark,725,171,23.5862
6444,Postmeds,883,208,23.5561
7357,MedShoppe,962,225,23.3888
7701,Protowell,531,124,23.3522
1293,"Fry’s Pharmacy",1009,233,23.0922
9681,"Be Well",934,215,23.0193
7448,"Central Drug Store",853,195,22.8605
4380,"Healthy Floyds",557,127,22.8007
5381,"Pharma First",859,195,22.7008
8795,"Rejuvva Drugs",807,183,22.6766
4922,Crossroads,319,72,22.5705
1008,MobiMeds,678,153,22.5664
5271,"Eastside Pharmacy and Compounding",764,172,22.5131
9659,"Express Scripts",1020,227,22.2549
8669,"Greensburg Family Pharmacy",627,138,22.0096
2821,Wellfresh,679,148,21.7968
5450,"Reliable Rexall",663,144,21.7195
4137,MedOne,806,173,21.4640
7637,"City Drug",551,117,21.2341
4636,"Hometown Pharmacy Services",663,140,21.1161
9800,"Maplewood Pharmacy",858,180,20.9790
3536,"Outpatient Pharmacy",1110,232,20.9009
1574,"ScriptSite Specialty",717,148,20.6416
7999,"Cherry Street Pharmacy",402,82,20.3980
5565,"Health Hub",664,133,20.0301
7085,"Community Pharmacy",640,128,20.0000
9707,"Better You",565,113,20.0000
8933,"Cashway Pharmacy",651,130,19.9693
5403,"Confidential Drug",726,144,19.8347
5531,Wellocity,847,168,19.8347
2301,HealthDirect,757,150,19.8151
6984,"Gateway Medical",574,113,19.6864
9296,"Gem Drugs",1221,240,19.6560
2165,"Wellness RX",1152,226,19.6181
3348,MedMinder,500,97,19.4000
3515,"Wellport Drugs",763,148,19.3971
1731,"Thrifty Way Pharmacy",808,156,19.3069
8315,RefillWise,458,88,19.2140
5100,"Eastlake Pharmacy",725,138,19.0345
1987,Healthbest,622,118,18.9711
9405,"Priority Pharmacy",738,140,18.9702
1332,"Rite Aid",852,161,18.8967
5659,"True Pill",933,175,18.7567
4938,"University Pharmacy",603,113,18.7396
1628,"IDL Drug Stores",507,95,18.7377
2060,"Prescription Hope",753,141,18.7251
6847,"Globe Pharmacy",657,123,18.7215
1795,"Pure Life",529,99,18.7146
7649,"Friends & Family Pharmacy",591,110,18.6125
9239,ScriptSave,894,166,18.5682
4269,"Cardinal Health",544,101,18.5662
6018,"Jack’s Discount Pharmacy",1106,205,18.5353
3831,"Health Mart",411,76,18.4915
4891,Medisuite,375,69,18.4000
2836,"Discount Drug Mart",763,140,18.3486
1248,"New Era",513,93,18.1287
3673,"Pharmacy Express",652,118,18.0982
8829,"Lyfe Pharmacy",861,155,18.0023
6576,"Care Pharmacy",942,169,17.9406
5058,"Bio Scrip",1171,210,17.9334
9869,"Health Aura",859,154,17.9278
9580,"Health Corner",759,136,17.9183
7759,"Beyond Health",566,101,17.8445
1194,"Foundation Care",454,81,17.8414
4647,Goodstart,516,92,17.8295
6931,Wellpharma,731,129,17.6471
2416,"Max Health",715,126,17.6224
5294,"The Chemist",741,129,17.4089
3803,"First Care Rx",406,70,17.2414
9790,"Wellness Craft",725,125,17.2414
4996,"Banks Apothecary",894,154,17.2260
5564,"Publix Pharmacy",873,150,17.1821
6998,Healthlink,735,126,17.1429
7683,Lifezest,603,103,17.0813
7016,"Southside Family Pharmacy",981,167,17.0234
8184,Apotheco,984,167,16.9715
8404,"Atlas Drugs",782,132,16.8798
7472,"Absolute Care",501,84,16.7665
5527,"Providence Plaza",961,161,16.7534
7202,"Essura Pharmacy",676,113,16.7160
1724,Mediserv,942,157,16.6667
