companyName,productName,description,maxPrice,Price_Category
"BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA",Spinraza,"2.4 MG/ML SOL INJ CT FA VD TRANS X 5 ML",388301.04,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"10 MG COM CT BL AL PLAS PVC TRANS X 1400",378663.96,Pricey
"ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO",Strensiq,"100 MG/ML SOL INJ CT 12 FA  VD INC X 0.8 ML",281305.20,Pricey
"BLAU FARMACEUTICA S.A.",BOTULIM,"200 U PO LIOF INJ 01 CT C/ 100 FR AMP INC (EMB HOSP)",240526.46,Pricey
"BLAU FARMACEUTICA S.A.",IMUNOGLOBULIN,"50 MG/ML SOL INJ CX 100 FA VD INC X 200 ML",240467.24,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"5 MG COM CT BL AL PLAS PVC TRANS X 1400",189331.68,Pricey
"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.",SOFOSBUVIR,"400 MG COM REV CX 50 FR PLAS OPC X 28",168077.65,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"10 MG COM CT BL AL PLAS PVC TRANS X 560",151465.59,Pricey
"ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO",Strensiq,"40 MG/ML SOL INJ CT 12 FA  VD INC X 1 ML",140652.59,Pricey
"BIOMARIN BRASIL FARMACEUTICA LTDA",BRINEURA,"30 MG/ML SOL INFUS CT 2 FA VD TRANS X 5 ML + 1 FA SOL LAV X 5 ML",130450.38,Pricey
"GENZYME DO BRASIL LTDA",Cerdelga,"100 MG CAP DURA CT BL AL PLAS TRANS X 60",125547.82,Pricey
"MYLAN LABORATORIOS LTDA",MYLTOL,"6 MG /ML SOL INJ IV CT 20 FA VD INC X 50 ML",123827.60,Pricey
"BLAU FARMACEUTICA S.A.",BOTULIM,"100 U PO LIOF INJ 01 CT C/ 100 FR AMP INC (EMB HOSP)",120263.23,Pricey
"BLAU FARMACEUTICA S.A.",IMUNOGLOBULIN,"50 MG/ML SOL INJ CX 100 FA VD INC X 100 ML",120233.63,Pricey
"BLAU FARMACEUTICA S.A.",PACLITAXEL,"6 MG/ML SOL INJ IV CX 20 FA VD AMB X 50ML",102922.75,Pricey
"ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO",Strensiq,"40 MG/ML SOL INJ CT 12 FA  VD INC X 0.7 ML",98456.82,Pricey
"SHIRE FARMACEUTICA BRASIL LTDA.",REVESTIVE,"5 MG PO LIOF SOL INJ CT 28 FA VD TRANS + 28 SER PREENC VD TRANS",95036.40,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"2.5 MG COM CT BL AL PLAS PVC TRANS X 1400",94664.57,Pricey
"DR. REDDYS FARMACEUTICA DO BRASIL LTDA",CABAZRED,"60 MG SOL INJ CT BAND 5 FR AMP VD TRANS X1.5ML + DIL 5 FR AMP VD TRANS X 4.5 ML",89729.14,Pricey
"VERTEX FARMACEUTICA DO BRASIL LTDA.",KALYDECO,"150 MG COM REV CT BL AL PLAS TRANS X 56",84999.75,Pricey
"LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA",TREBYXAN,"20 MG/ML SOL INJ CT 50 FA VD AMB X 5 ML",79674.67,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"10 MG COM CT BL AL PLAS PVC TRANS X 280",75732.79,Pricey
"NATCOFARMA DO BRASIL LTDA",Everolimo,"5 MG COM CT BL AL PLAS PVC TRANS X 560",75732.67,Pricey
"ABBVIE FARMACEUTICA LTDA.","Viekira Pak","12.5 MG + 75 MG + 50 MG COM REV + 250 MG COM REV CT BL AL/PLAS INC X 56 + 56",73480.70,Pricey
"ACCORD FARMACEUTICA LTDA",PEMTRYX,"500 MG PO LIOF INJ CT 10 FA VD INC X 50 ML",73078.16,Pricey
"BLAU FARMACEUTICA S.A.",IMUNOGLOBULIN,"50 MG/ML SOL INJ CX 100 FA VD INC X 60 ML",72140.17,Pricey
"NOVARTIS BIOCIENCIAS S.A",Rydapt,"25 MG CAP MOLE CT BL AL AL X 112",71266.51,Pricey
"BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA",YERVOY,"200 MG SOL INJ INC CT 1 FA VD INC X 40 ML",71033.19,Pricey
"GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA",SOVALDI,"400 MG COM REV CT FR PLAS OPC X 28",70142.16,Pricey
"PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.",Hemcibra,"150 MG SOL INJ SC CT 1 FA VD TRANS X 1 ML",64982.65,Pricey
"GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA","HARVONI TM","90 MG + 400 MG COM REV CT FR PLAS OPC X 28",64785.68,Pricey
"ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTOS E SERVICOS DE ADMINISTRACAO",Strensiq,"40 MG/ML SOL INJ CT 12 FA  VD INC X 0.45 ML",63293.67,Pricey
"BLAU FARMACEUTICA S.A.",BOTULIM,"50 U PO LIOF INJ 01 CT C/ 100 FR AMP INC (EMB HOSP)",60131.61,Pricey
"BLAU FARMACEUTICA S.A.",IMUNOGLOBULIN,"50 MG/ML SOL INJ CX 100 FA VD INC X 50 ML",60116.80,Pricey
"WYETH INDUSTRIA FARMACEUTICA LTDA",Besponsa,"1 MG PO LIOF SOL INJ CT FA VD AMB",58560.05,Pricey
"VERTEX FARMACEUTICA DO BRASIL LTDA.",ORKAMBI,"125 MG/DOSE + 200 MG/DOSE COM REV CT BL AL PLAS TRANS X 112",58462.29,Pricey
"DR. REDDYS FARMACEUTICA DO BRASIL LTDA",CABAZITAXEL,"60 MG SOL INJ CT BAND 5 FR AMP VD TRANS X1.5ML + DIL 5 FR AMP VD TRANS X 4.5 ML",58334.85,Pricey
"VERTEX FARMACEUTICA DO BRASIL LTDA.",ORKAMBI,"125 MG/DOSE + 100 MG/DOSE COM REV CT BL AL PLAS TRANS X 112",58261.90,Pricey
"BLAU FARMACEUTICA S.A.",BLAUBIMAX,"20 % SOL INJ CX 100 FA VD INC X 100 ML",56179.72,Pricey
"MERCK SHARP & DOHME FARMACEUTICA LTDA",ZEPATIER,"50 MG + 100 MG COM REV CT BL AL AL X 28",55501.33,Pricey
