State,Gender,Patient_Count
AK,female,7
AK,male,9
AK,Total,16
AL,female,6
AL,male,12
AL,Total,18
AR,female,6
AR,male,10
AR,Total,16
AZ,female,6
AZ,male,7
AZ,Total,13
CA,female,5
CA,male,15
CA,Total,20
CO,female,7
CO,male,11
CO,Total,18
CT,female,6
CT,male,7
CT,Total,13
DC,female,6
DC,male,10
DC,Total,16
FL,female,4
FL,male,11
FL,Total,15
GA,female,7
GA,male,8
GA,Total,15
KY,female,3
KY,male,6
KY,Total,9
MA,female,4
MA,male,5
MA,Total,9
MD,female,5
MD,male,13
MD,Total,18
OK,female,4
OK,male,13
OK,Total,17
TN,female,10
TN,male,8
TN,Total,18
VT,female,8
VT,male,11
VT,Total,19
Total,Total,250
