planName,companyName,Year,Claim_Count
"Additional S.I. for Pandemic and epidemic Rider","Aditya Birla Health Insurance Co. Ltd",2020,7
"Additional S.I. for Pandemic and epidemic Rider","Aditya Birla Health Insurance Co. Ltd",2021,6
"Additional S.I. for Pandemic and epidemic Rider","Aditya Birla Health Insurance Co. Ltd",2022,10
"Additional S.I. for Pandemic and epidemic Rider","Aditya Birla Health Insurance Co. Ltd",total,23
"Alpa Bima � Group","Future Generali India Insurance Co. Ltd.",2020,12
"Alpa Bima � Group","Future Generali India Insurance Co. Ltd.",2021,8
"Alpa Bima � Group","Future Generali India Insurance Co. Ltd.",2022,8
"Alpa Bima � Group","Future Generali India Insurance Co. Ltd.",total,28
"Arogya Premier Policy","SBI General Insurance Co.Ltd.",2020,12
"Arogya Premier Policy","SBI General Insurance Co.Ltd.",2021,6
"Arogya Premier Policy","SBI General Insurance Co.Ltd.",2022,7
"Arogya Premier Policy","SBI General Insurance Co.Ltd.",total,25
"Arogya Raksha- Group Health Insurance Scheme","United India Insurance Co. Ltd.",2020,12
"Arogya Raksha- Group Health Insurance Scheme","United India Insurance Co. Ltd.",2021,10
"Arogya Raksha- Group Health Insurance Scheme","United India Insurance Co. Ltd.",2022,11
"Arogya Raksha- Group Health Insurance Scheme","United India Insurance Co. Ltd.",total,33
"Arogya Sanjeevani","Niva Bupa Health Insurance co ltd",2020,5
"Arogya Sanjeevani","Niva Bupa Health Insurance co ltd",2021,7
"Arogya Sanjeevani","Niva Bupa Health Insurance co ltd",2022,14
"Arogya Sanjeevani","Niva Bupa Health Insurance co ltd",total,26
"Arogya Sanjeevani Policy","Star Health & Allied Insurance Co. Ltd.�",2020,12
"Arogya Sanjeevani Policy","Star Health & Allied Insurance Co. Ltd.�",2021,10
"Arogya Sanjeevani Policy","Star Health & Allied Insurance Co. Ltd.�",2022,10
"Arogya Sanjeevani Policy","Star Health & Allied Insurance Co. Ltd.�",total,32
"Arogya Shield","SBI General Insurance Co.Ltd.",2020,6
"Arogya Shield","SBI General Insurance Co.Ltd.",2021,17
"Arogya Shield","SBI General Insurance Co.Ltd.",2022,8
"Arogya Shield","SBI General Insurance Co.Ltd.",total,31
"Arogya Supreme","SBI General Insurance Co. Ltd.",2020,7
"Arogya Supreme","SBI General Insurance Co. Ltd.",2021,10
"Arogya Supreme","SBI General Insurance Co. Ltd.",2022,8
"Arogya Supreme","SBI General Insurance Co. Ltd.",total,25
"Bajaj Allianz Bharat Bhraman Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",2020,8
"Bajaj Allianz Bharat Bhraman Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",2021,15
"Bajaj Allianz Bharat Bhraman Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",2022,5
"Bajaj Allianz Bharat Bhraman Insurance Policy","Bajaj Allianz General Insurance Co Ltd�",total,28
"Bharat Yatra Suraksha","Liberty General Insurance Ltd.",2020,6
"Bharat Yatra Suraksha","Liberty General Insurance Ltd.",2021,11
"Bharat Yatra Suraksha","Liberty General Insurance Ltd.",2022,8
"Bharat Yatra Suraksha","Liberty General Insurance Ltd.",total,25
"Bharat Yatra Suraksha Group","Liberty General Insurance Ltd.",2020,7
"Bharat Yatra Suraksha Group","Liberty General Insurance Ltd.",2021,12
"Bharat Yatra Suraksha Group","Liberty General Insurance Ltd.",2022,9
"Bharat Yatra Suraksha Group","Liberty General Insurance Ltd.",total,28
"BoB National Health Policy","National Insurance Co. Ltd.",2020,8
"BoB National Health Policy","National Insurance Co. Ltd.",2021,17
"BoB National Health Policy","National Insurance Co. Ltd.",2022,8
"BoB National Health Policy","National Insurance Co. Ltd.",total,33
"Care Classic","Care Health Insurance Co. Ltd",2020,11
"Care Classic","Care Health Insurance Co. Ltd",2021,10
"Care Classic","Care Health Insurance Co. Ltd",2022,9
"Care Classic","Care Health Insurance Co. Ltd",total,30
"Care Plus","Care Health Insurance Ltd.",2020,9
"Care Plus","Care Health Insurance Ltd.",2021,13
"Care Plus","Care Health Insurance Ltd.",2022,10
"Care Plus","Care Health Insurance Ltd.",total,32
"Chola Group EMI Protect","Cholamandalam MS General Insurance Co. Ltd.",2020,9
"Chola Group EMI Protect","Cholamandalam MS General Insurance Co. Ltd.",2021,8
"Chola Group EMI Protect","Cholamandalam MS General Insurance Co. Ltd.",2022,5
"Chola Group EMI Protect","Cholamandalam MS General Insurance Co. Ltd.",total,22
"Chola Group Top Up Protect","Cholamandalam MS General",2020,6
"Chola Group Top Up Protect","Cholamandalam MS General",2021,8
"Chola Group Top Up Protect","Cholamandalam MS General",2022,4
"Chola Group Top Up Protect","Cholamandalam MS General",total,18
"Chola Mashak (Mosquito) Rakshak-Group","Cholamandalam MS General Insurance Co. Ltd.",2020,10
"Chola Mashak (Mosquito) Rakshak-Group","Cholamandalam MS General Insurance Co. Ltd.",2021,4
"Chola Mashak (Mosquito) Rakshak-Group","Cholamandalam MS General Insurance Co. Ltd.",2022,11
"Chola Mashak (Mosquito) Rakshak-Group","Cholamandalam MS General Insurance Co. Ltd.",total,25
"Corona Kavach Policy","Niva Bupa Health Insurance co ltd",2020,16
"Corona Kavach Policy","Niva Bupa Health Insurance co ltd",2021,13
"Corona Kavach Policy","Niva Bupa Health Insurance co ltd",2022,12
"Corona Kavach Policy","Niva Bupa Health Insurance co ltd",total,41
"Criti Shield Plus","ICICI Lombard GI Co. Ltd.",2020,18
"Criti Shield Plus","ICICI Lombard GI Co. Ltd.",2021,11
"Criti Shield Plus","ICICI Lombard GI Co. Ltd.",2022,11
"Criti Shield Plus","ICICI Lombard GI Co. Ltd.",total,40
"Diabetes Safe Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2020,12
"Diabetes Safe Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2021,7
"Diabetes Safe Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2022,7
"Diabetes Safe Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",total,26
"Digit Group Total Protect Policy","Go Digit General Insurance Co.Ltd",2020,9
"Digit Group Total Protect Policy","Go Digit General Insurance Co.Ltd",2021,10
"Digit Group Total Protect Policy","Go Digit General Insurance Co.Ltd",2022,13
"Digit Group Total Protect Policy","Go Digit General Insurance Co.Ltd",total,32
"Digit On -the- Move Group Policy","Go Digit General Insurance Co.Ltd",2020,6
"Digit On -the- Move Group Policy","Go Digit General Insurance Co.Ltd",2021,5
"Digit On -the- Move Group Policy","Go Digit General Insurance Co.Ltd",2022,11
"Digit On -the- Move Group Policy","Go Digit General Insurance Co.Ltd",total,22
"Domestic Travel Insurance","ICICI Lombard GI Co. Ltd.",2020,14
"Domestic Travel Insurance","ICICI Lombard GI Co. Ltd.",2021,13
"Domestic Travel Insurance","ICICI Lombard GI Co. Ltd.",2022,13
"Domestic Travel Insurance","ICICI Lombard GI Co. Ltd.",total,40
"E Travel Value policy","Bajaj Allianz General Insurance Co Ltd�",2020,6
"E Travel Value policy","Bajaj Allianz General Insurance Co Ltd�",2021,9
"E Travel Value policy","Bajaj Allianz General Insurance Co Ltd�",2022,11
"E Travel Value policy","Bajaj Allianz General Insurance Co Ltd�",total,26
"Easy Travel","HDFC ERGO General Insurance Co. Ltd.�",2020,8
"Easy Travel","HDFC ERGO General Insurance Co. Ltd.�",2021,11
"Easy Travel","HDFC ERGO General Insurance Co. Ltd.�",2022,5
"Easy Travel","HDFC ERGO General Insurance Co. Ltd.�",total,24
"Easy Travel Group Travel Health�","HDFC ERGO General Insurance Co. Ltd.�",2020,5
"Easy Travel Group Travel Health�","HDFC ERGO General Insurance Co. Ltd.�",2021,4
"Easy Travel Group Travel Health�","HDFC ERGO General Insurance Co. Ltd.�",2022,9
"Easy Travel Group Travel Health�","HDFC ERGO General Insurance Co. Ltd.�",total,18
"Edelweiss HealthPlus Policy","Edelweiss General Insurance Co. Ltd.",2020,13
"Edelweiss HealthPlus Policy","Edelweiss General Insurance Co. Ltd.",2021,14
