state,diseaseID,treatment_count,min_r,max_r
AK,21,17,40,1
AK,15,5,1,40
AL,11,28,39,1
AL,22,28,39,1
AL,13,9,1,40
AR,35,22,38,1
AR,4,22,38,1
AR,36,22,38,1
AR,21,9,1,38
AR,38,9,1,38
AR,17,9,1,38
AZ,20,24,40,1
AZ,33,9,1,40
CA,6,40,40,1
CA,29,18,1,40
CO,17,26,40,1
CO,13,9,1,40
CT,28,27,40,1
CT,32,5,1,40
DC,20,29,40,1
DC,21,7,1,40
FL,36,31,40,1
FL,2,11,1,40
GA,38,29,40,1
GA,35,12,1,39
GA,17,12,1,39
KY,36,24,40,1
KY,17,5,1,39
KY,5,5,1,39
MA,15,20,40,1
MA,32,8,1,40
MD,37,25,40,1
MD,38,10,1,37
MD,16,10,1,37
MD,39,10,1,37
MD,20,10,1,37
OK,14,27,39,1
OK,22,27,39,1
OK,33,10,1,40
TN,40,32,40,1
TN,32,13,1,39
TN,9,13,1,39
VT,26,22,40,1
VT,12,7,1,40
