pharmacyName,"coalesce(DiseaseName, 'Total')",Prescription_Count
NULL,Total,3678
"Absolute Care",Total,13
"Absolute Care",Epilepsy,2
"Absolute Care","Autoimmune diseases",2
"Absolute Care",Asthma,1
"Absolute Care",Depression,1
"Absolute Care","Diabetes mellitus type 1",1
"Absolute Care","Diabetes mellitus type 2",1
"Absolute Care","Dilated cardiomyopathy",1
"Absolute Care","Anorexia nervosa",1
"Absolute Care","Guillain–Barré syndrome",1
"Absolute Care","Irritable bowel syndrome",1
"Absolute Care","Thromboangiitis obliterans",1
"Acculife Drug Stores",Total,14
"Acculife Drug Stores","Alzheimer's disease",2
"Acculife Drug Stores","Autoimmune diseases",2
"Acculife Drug Stores","Chronic obstructive pulmonary disease",2
"Acculife Drug Stores",Atherosclerosis,1
"Acculife Drug Stores","Bipolar disorder",1
"Acculife Drug Stores",Cancer,1
"Acculife Drug Stores","Chronic fatigue syndrome",1
"Acculife Drug Stores","Irritable bowel syndrome",1
"Acculife Drug Stores","Multiple sclerosis",1
"Acculife Drug Stores",Psoriasis,1
"Acculife Drug Stores",Vasculitis,1
"Adams Drugs",Total,14
"Adams Drugs","Diabetes mellitus type 1",2
"Adams Drugs","Amyotrophic lateral sclerosis",2
"Adams Drugs",Atherosclerosis,2
"Adams Drugs","Myocardial infarction",2
"Adams Drugs",Vasculitis,2
"Adams Drugs","Parkinson's disease",1
"Adams Drugs","Rheumatoid arthritis",1
"Adams Drugs","Alzheimer's disease",1
"Adams Drugs",Cancer,1
"Alliance Community",Total,22
"Alliance Community",Cancer,3
"Alliance Community",Schizophrenia,3
"Alliance Community","Tourette syndrome",3
"Alliance Community","Rheumatoid arthritis",2
"Alliance Community","Autoimmune diseases",1
"Alliance Community","Bipolar disorder",1
"Alliance Community","Chronic fatigue syndrome",1
"Alliance Community","Diabetes mellitus type 1",1
"Alliance Community","Diabetes mellitus type 2",1
"Alliance Community",Epilepsy,1
"Alliance Community","Low back pain",1
"Alliance Community",Lupus,1
"Alliance Community",Psoriasis,1
"Alliance Community",Sarcoidosis,1
"Alliance Community",Vasculitis,1
"Ally Scripts",Total,11
"Ally Scripts","Guillain–Barré syndrome",2
"Ally Scripts","Thromboangiitis obliterans",2
"Ally Scripts","Anorexia nervosa",1
"Ally Scripts","Anxiety disorder",1
"Ally Scripts",Autism,1
"Ally Scripts",Depression,1
"Ally Scripts",Psoriasis,1
"Ally Scripts",Schizophrenia,1
"Ally Scripts",Stroke,1
Apotheco,Total,20
Apotheco,"Crohn's disease",2
Apotheco,"Tourette syndrome",2
Apotheco,"Irritable bowel syndrome",2
Apotheco,"Myocardial infarction",2
Apotheco,Autism,1
Apotheco,"Autoimmune diseases",1
Apotheco,"Chronic obstructive pulmonary disease",1
Apotheco,"Coronary heart disease",1
Apotheco,Dementia,1
Apotheco,"Diabetes mellitus type 1",1
Apotheco,"Diabetes mellitus type 2",1
Apotheco,"Dilated cardiomyopathy",1
Apotheco,"Low back pain",1
Apotheco,"Rheumatoid arthritis",1
Apotheco,"Multiple sclerosis",1
Apotheco,"Guillain–Barré syndrome",1
"Assured Rx",Total,14
"Assured Rx",Asthma,2
"Assured Rx","Anorexia nervosa",1
"Assured Rx","Attention deficit hyperactivity disorder",1
"Assured Rx","Autoimmune diseases",1
"Assured Rx","Crohn's disease",1
"Assured Rx",Dementia,1
"Assured Rx","Dilated cardiomyopathy",1
"Assured Rx","Low back pain",1
"Assured Rx","Metabolic syndrome",1
"Assured Rx","Parkinson's disease",1
"Assured Rx",Psoriasis,1
"Assured Rx",Schizophrenia,1
"Assured Rx",Vasculitis,1
"Atlas Drugs",Total,16
"Atlas Drugs",Lupus,2
"Atlas Drugs","Guillain–Barré syndrome",2
"Atlas Drugs","Anxiety disorder",1
"Atlas Drugs",Atherosclerosis,1
"Atlas Drugs","Coronary heart disease",1
"Atlas Drugs",Dementia,1
"Atlas Drugs","Low back pain",1
"Atlas Drugs","Metabolic syndrome",1
"Atlas Drugs","Myocardial infarction",1
"Atlas Drugs","Obsessive–compulsive disorder",1
